,Feature,W,Scaled
1336,PF3D7_0606600,1.154547929763794,0.19198608
3166,PF3D7_1117300,1.1545474529266357,0.19180298
3665,PF3D7_1217600,1.1545466184616089,0.19146729
4233,PF3D7_1320400,1.1545461416244507,0.19128418
4130,PF3D7_1310100,1.154545783996582,0.19113159
4152,PF3D7_1312300,1.154545783996582,0.19113159
1860,PF3D7_0728400.1,1.1545456647872925,0.19107056
7,MAL10.271753.271892.bcgkrvy,1.1545454263687134,0.190979
5535,PF3D7_1479700,1.1545449495315552,0.1907959
698,PF3D7_0323300,1.1545438766479492,0.19036865
3992,PF3D7_1250800,1.154543399810791,0.19015503
2059,PF3D7_0816200,1.1545429229736328,0.18997192
2520,PF3D7_0929300,1.1545428037643433,0.1899414
3085,PF3D7_1109100,1.1545422077178955,0.18969727
4993,PF3D7_1425400,1.154542088508606,0.18963623
304,PF3D7_0206300,1.154542088508606,0.18963623
3306,PF3D7_1131400,1.1545417308807373,0.18948364
2697,PF3D7_1009300,1.1545417308807373,0.18948364
4736,PF3D7_1372100,1.1545411348342896,0.1892395
502,PF3D7_0303600,1.1545411348342896,0.1892395
3084,PF3D7_1109000,1.1545401811599731,0.18887329
4582,PF3D7_1355600,1.1545395851135254,0.18862915
3829,PF3D7_1234200,1.1545387506484985,0.18829346
2554,PF3D7_0932700,1.1545385122299194,0.1882019
644,PF3D7_0317800,1.1545382738113403,0.18811035
2188,PF3D7_0829200,1.1545382738113403,0.18811035
963,PF3D7_0501000,1.1545377969741821,0.18789673
1126,PF3D7_0517500,1.1545376777648926,0.18786621
771,PF3D7_0406700,1.154537320137024,0.18771362
2332,PF3D7_0910400,1.1545370817184448,0.18762207
2935,PF3D7_1033200,1.1545370817184448,0.18762207
5043,PF3D7_1430300,1.1545370817184448,0.18762207
5176,PF3D7_1443600,1.1545361280441284,0.18722534
3122,PF3D7_1112800,1.1545357704162598,0.18707275
1467,PF3D7_0619600,1.1545354127883911,0.18695068
2054,PF3D7_0815700,1.1545352935791016,0.18688965
2036,PF3D7_0813800,1.154535174369812,0.18685913
2155,PF3D7_0825900,1.154534935951233,0.18673706
3321,PF3D7_1132900,1.1545348167419434,0.18670654
4061,PF3D7_1303200.1,1.1545335054397583,0.18615723
4092,PF3D7_1306300,1.1545335054397583,0.18615723
592,PF3D7_0312500,1.1545329093933105,0.1859436
2769,PF3D7_1016500,1.154532790184021,0.18588257
1338,PF3D7_0606800,1.1545320749282837,0.1855774
57,MAL4.546379.546439.....r..,1.1545318365097046,0.18548584
3005,PF3D7_1040900,1.154531717300415,0.18545532
3513,PF3D7_1202100.1,1.154531478881836,0.18536377
3662,PF3D7_1217300,1.154531478881836,0.18536377
2972,PF3D7_1037100,1.154531478881836,0.18536377
2167,PF3D7_0827100,1.1545312404632568,0.1852417
3833,PF3D7_1234600,1.1545308828353882,0.18511963
3422,PF3D7_1143000,1.1545307636260986,0.1850586
3783,PF3D7_1229400,1.1545299291610718,0.1847229
1772,PF3D7_0719200,1.1545298099517822,0.18466187
2493,PF3D7_0926600,1.1545298099517822,0.18466187
1160,PF3D7_0520900,1.1545294523239136,0.1845398
2461,PF3D7_0923400,1.154529333114624,0.18447876
3971,PF3D7_1248700,1.1545292139053345,0.18444824
4441,PF3D7_1341400,1.1545289754867554,0.18432617
195,PF3D7_0110200,1.1545288562774658,0.18429565
1901,PF3D7_0732900,1.154528260231018,0.18405151
4310,PF3D7_1328100,1.154528021812439,0.18395996
4495,PF3D7_1346800,1.1545276641845703,0.18380737
773,PF3D7_0406900,1.1545275449752808,0.18374634
4203,PF3D7_1317400,1.154526948928833,0.18353271
5083,PF3D7_1434300,1.154526948928833,0.18353271
2353,PF3D7_0912600,1.154526948928833,0.18353271
3771,PF3D7_1228200,1.1545268297195435,0.18347168
2879,PF3D7_1027600,1.1545268297195435,0.18347168
665,PF3D7_0319900,1.154526710510254,0.18341064
5098,PF3D7_1435800,1.1545263528823853,0.18328857
620,PF3D7_0315500,1.1545262336730957,0.18322754
3857,PF3D7_1237000,1.1545261144638062,0.18319702
2001,PF3D7_0810400,1.154525876045227,0.18307495
587,PF3D7_0312000,1.1545257568359375,0.18304443
1826,PF3D7_0724600,1.1545253992080688,0.18289185
3307,PF3D7_1131500,1.1545253992080688,0.18289185
4463,PF3D7_1343600,1.1545251607894897,0.1828003
4930,PF3D7_1418300,1.1545250415802002,0.18273926
4818,PF3D7_1407100,1.1545249223709106,0.18270874
2468,PF3D7_0924100,1.154524564743042,0.18255615
689,PF3D7_0322300,1.1545239686965942,0.18231201
5413,PF3D7_1467300,1.154523491859436,0.1821289
4129,PF3D7_1310000,1.1545233726501465,0.18206787
